CAMBERWELL_RD SE of BURKE_RD
BURKE_RD S of RIVERSDALE_RD
RIVERSDALE_RD W of BURKE_RD
CAMBERWELL_RD NW of BURKE_RD
BURKE_RD N of TOORAK_RD
TOORAK_RD E of BURKE_RD
BURKE_RD S of TOORAK_RD
TOORAK_RD W OF BURKE_RD
DONCASTER_RD E of BULLEEN_RD
SEVERN_ST S of DONCASTER_RD
DONCASTER_RD SW of SEVERN_ST
BALWYN_RD N OF BELMORE_RD
BELMORE_RD E OF BALWYN_RD
BALWYN_RD S OF BELMORE_RD
BELMORE_RD W OF BALWYN_RD
BALWYN_RD N OF WHITEHORSE_RD
WHITEHORSE_RD E OF BALWYN_RD
BALWYN_RD S OF WHITEHORSE_RD
WHITEHORSE_RD W OF BALWYN_RD
BRIDGE_RD SW of BURWOOD_RD
POWER_ST N of BURWOOD_RD
BURWOOD_RD E of POWER_ST
POWER_ST S of BURWOOD_RD
BURWOOD_RD W of POWER_ST
GLENFERRIE_RD N of BURWOOD_RD
BURWOOD_RD E of GLENFERRIE_RD
GLENFERRIE_RD S of BURWOOD_RD
BURWOOD_RD W of GLENFERRIE_RD
AUBURN_RD N of BURWOOD_RD
BURWOOD_RD E of AUBURN_RD
AUBURN_RD S of BURWOOD_RD
BURWOOD_RD W of AUBURN_RD
GLENFERRIE_RD N of RIVERSDALE_RD
RIVERSDALE_RD E of GLENFERRIE_RD
GLENFERRIE_RD S of RIVERSDALE_RD
RIVERSDALE_RD W of GLENFERRIE_RD
RIVERSDALE_RD E of TOORONGA_RD
TOORONGA_RD S of RIVERSDALE_RD
RIVERSDALE_RD W of TOORONGA_RD
TOORONGA_RD N of TOORAK_RD
TOORAK_RD E of TOORONGA_RD
HIGH_ST NE OF HARP_ST
HARP_RD E OF HIGH_ST
HIGH_ST SW OF HARP_ST
VALERIE_ST W OF HIGH_ST
COTHAM_RD E OF GLENFERRIE_RD
GLENFERRIE_RD S OF COTHAM_RD
COTHAM_RD W OF GLENFERRIE_RD
HIGH_ST NE of CHARLES_ST
SWAN_ST NE of MADDEN_GV
MADDEN_GV S OF SWAN_ST
SWAN_ST SW of MADDEN_GV
WALMER_ST N OF VICTORIA_ST
VICTORIA_ST E OF BURNLEY_ST
BURNLEY_ST S OF VICTORIA_ST
VICTORIA_ST W OF BURNLEY_ST
